event_id,signed_up_at,decision_funnel_blind,decision_chitmark,outcome,credit_burn_usd,chargeback_usd,converted_usd
evt_0001,2026-06-02T09:12:00,block,block,abuse,480.00,0,0
evt_0002,2026-06-02T09:14:00,block,block,abuse,350.00,0,0
evt_0003,2026-06-02T09:41:00,block,block,abuse,120.00,0,0
evt_0004,2026-06-03T14:05:00,block,block,abuse,70.00,0,0
evt_0005,2026-06-03T14:22:00,block,block,abuse,300.00,0,0
evt_0006,2026-06-04T08:55:00,allow,allow,abuse,200.00,0,0
evt_0007,2026-06-05T18:30:00,allow,allow,abuse,110.00,0,0
evt_0008,2026-06-06T10:02:00,block,allow,converted,0,0,150.00
evt_0009,2026-06-06T10:15:00,block,allow,converted,0,0,150.00
evt_0010,2026-06-06T10:47:00,block,allow,converted,0,0,150.00
evt_0011,2026-06-07T11:20:00,allow,block,converted,0,0,150.00
evt_0012,2026-06-07T12:03:00,allow,allow,converted,0,0,150.00
evt_0013,2026-06-08T09:30:00,allow,allow,converted,0,0,150.00
evt_0014,2026-06-08T09:44:00,allow,allow,silent,0,0,0
evt_0015,2026-06-08T10:01:00,allow,allow,silent,0,0,0
evt_0016,2026-06-08T10:22:00,allow,allow,silent,0,0,0
evt_0017,2026-06-09T13:10:00,allow,allow,silent,0,0,0
evt_0018,2026-06-09T13:33:00,allow,allow,silent,0,0,0
evt_0019,2026-06-10T09:00:00,allow,allow,silent,0,0,0
evt_0020,2026-06-10T09:15:00,allow,allow,silent,0,0,0
evt_0021,2026-06-11T16:40:00,allow,allow,silent,0,0,0
evt_0022,2026-06-11T16:58:00,allow,allow,silent,0,0,0
evt_0023,2026-06-12T10:12:00,allow,allow,silent,0,0,0
evt_0024,2026-06-12T10:41:00,allow,allow,silent,0,0,0
evt_0025,2026-06-13T09:03:00,allow,allow,silent,0,0,0
evt_0026,2026-06-14T14:22:00,allow,allow,silent,0,0,0
evt_0027,2026-06-15T09:55:00,allow,allow,silent,0,0,0
evt_0028,2026-06-16T11:08:00,allow,allow,silent,0,0,0
evt_0029,2026-06-17T10:26:00,allow,allow,silent,0,0,0
evt_0030,2026-06-18T09:38:00,allow,allow,silent,0,0,0
evt_0031,2026-06-19T15:02:00,allow,allow,silent,0,0,0
evt_0032,2026-06-20T10:44:00,allow,allow,silent,0,0,0
evt_0033,2026-06-21T09:19:00,allow,allow,silent,0,0,0
evt_0034,2026-06-22T14:57:00,allow,allow,silent,0,0,0
evt_0035,2026-06-23T10:31:00,allow,allow,silent,0,0,0
evt_0036,2026-06-24T09:07:00,allow,allow,silent,0,0,0
evt_0037,2026-06-25T13:26:00,allow,allow,silent,0,0,0
evt_0038,2026-06-26T10:59:00,allow,allow,silent,0,0,0
evt_0039,2026-06-27T09:42:00,allow,allow,silent,0,0,0
evt_0040,2026-06-28T15:33:00,allow,allow,silent,0,0,0
