user_id,signed_up_at,email_domain,ip,credits_granted
farm-001,2026-07-20T09:00:00,farm.io,203.0.113.1,10
farm-002,2026-07-20T09:02:00,farm.io,203.0.113.2,10
farm-003,2026-07-20T09:04:00,farm.io,203.0.113.3,10
farm-004,2026-07-20T09:06:00,farm.io,203.0.113.4,10
farm-005,2026-07-20T09:08:00,farm.io,203.0.113.5,10
farm-006,2026-07-20T09:10:00,farm.io,203.0.113.6,10
farm-007,2026-07-20T11:00:00,node0.farm.io,198.51.100.1,10
farm-008,2026-07-20T11:10:00,node1.farm.io,198.51.100.2,10
farm-009,2026-07-20T11:20:00,node2.farm.io,198.51.100.3,10
farm-010,2026-07-20T11:30:00,node3.farm.io,198.51.100.4,10
farm-011,2026-07-20T11:40:00,node4.farm.io,198.51.100.5,10
farm-012,2026-07-20T11:50:00,node5.farm.io,198.51.100.6,10
user-001,2026-07-21T09:00:00,gmail.com,192.11.1.1,10
user-002,2026-07-21T13:00:00,outlook.com,192.12.2.2,10
user-003,2026-07-21T17:00:00,acme.com,192.13.3.3,10
user-004,2026-07-21T21:00:00,vercorp.io,192.14.4.4,10
user-005,2026-07-22T01:00:00,xylabs.dev,192.15.5.5,10
user-006,2026-07-22T05:00:00,brightco.ai,192.16.6.6,10
user-007,2026-07-23T09:00:00,northwind.co,192.17.7.7,10
user-008,2026-07-23T13:00:00,daylight.app,192.18.8.8,10
user-009,2026-07-23T17:00:00,ferrous.io,192.19.9.9,10
user-010,2026-07-23T21:00:00,gmail.com,192.20.10.10,10
user-011,2026-07-24T01:00:00,outlook.com,192.21.11.11,10
user-012,2026-07-24T05:00:00,acme.com,192.22.12.12,10
user-013,2026-07-25T09:00:00,vercorp.io,192.23.13.13,10
user-014,2026-07-25T13:00:00,xylabs.dev,192.24.14.14,10
user-015,2026-07-25T17:00:00,brightco.ai,192.25.15.15,10
user-016,2026-07-25T21:00:00,northwind.co,192.26.16.16,10
user-017,2026-07-26T01:00:00,daylight.app,192.27.17.17,10
user-018,2026-07-26T05:00:00,ferrous.io,192.28.18.18,10
