user_id,used_at,credits_used
farm-001,2026-07-20T14:00:00,8.0
farm-001,2026-07-20T20:00:00,8.0
farm-001,2026-07-21T02:00:00,8.0
farm-001,2026-07-21T08:00:00,8.0
farm-001,2026-07-21T14:00:00,8.0
farm-001,2026-07-21T20:00:00,8.0
farm-002,2026-07-20T14:00:00,8.0
farm-002,2026-07-20T20:00:00,8.0
farm-002,2026-07-21T02:00:00,8.0
farm-002,2026-07-21T08:00:00,8.0
farm-002,2026-07-21T14:00:00,8.0
farm-002,2026-07-21T20:00:00,8.0
farm-003,2026-07-20T14:00:00,8.0
farm-003,2026-07-20T20:00:00,8.0
farm-003,2026-07-21T02:00:00,8.0
farm-003,2026-07-21T08:00:00,8.0
farm-003,2026-07-21T14:00:00,8.0
farm-003,2026-07-21T20:00:00,8.0
farm-004,2026-07-20T14:00:00,8.0
farm-004,2026-07-20T20:00:00,8.0
farm-004,2026-07-21T02:00:00,8.0
farm-004,2026-07-21T08:00:00,8.0
farm-004,2026-07-21T14:00:00,8.0
farm-004,2026-07-21T20:00:00,8.0
farm-005,2026-07-20T14:00:00,8.0
farm-005,2026-07-20T20:00:00,8.0
farm-005,2026-07-21T02:00:00,8.0
farm-005,2026-07-21T08:00:00,8.0
farm-005,2026-07-21T14:00:00,8.0
farm-005,2026-07-21T20:00:00,8.0
farm-006,2026-07-20T14:00:00,8.0
farm-006,2026-07-20T20:00:00,8.0
farm-006,2026-07-21T02:00:00,8.0
farm-006,2026-07-21T08:00:00,8.0
farm-006,2026-07-21T14:00:00,8.0
farm-006,2026-07-21T20:00:00,8.0
farm-007,2026-07-20T14:00:00,8.0
farm-007,2026-07-20T20:00:00,8.0
farm-007,2026-07-21T02:00:00,8.0
farm-007,2026-07-21T08:00:00,8.0
farm-007,2026-07-21T14:00:00,8.0
farm-007,2026-07-21T20:00:00,8.0
farm-008,2026-07-20T14:00:00,8.0
farm-008,2026-07-20T20:00:00,8.0
farm-008,2026-07-21T02:00:00,8.0
farm-008,2026-07-21T08:00:00,8.0
farm-008,2026-07-21T14:00:00,8.0
farm-008,2026-07-21T20:00:00,8.0
farm-009,2026-07-20T14:00:00,8.0
farm-009,2026-07-20T20:00:00,8.0
farm-009,2026-07-21T02:00:00,8.0
farm-009,2026-07-21T08:00:00,8.0
farm-009,2026-07-21T14:00:00,8.0
farm-009,2026-07-21T20:00:00,8.0
farm-010,2026-07-20T14:00:00,8.0
farm-010,2026-07-20T20:00:00,8.0
farm-010,2026-07-21T02:00:00,8.0
farm-010,2026-07-21T08:00:00,8.0
farm-010,2026-07-21T14:00:00,8.0
farm-010,2026-07-21T20:00:00,8.0
farm-011,2026-07-20T14:00:00,8.0
farm-011,2026-07-20T20:00:00,8.0
farm-011,2026-07-21T02:00:00,8.0
farm-011,2026-07-21T08:00:00,8.0
farm-011,2026-07-21T14:00:00,8.0
farm-011,2026-07-21T20:00:00,8.0
farm-012,2026-07-20T14:00:00,8.0
farm-012,2026-07-20T20:00:00,8.0
farm-012,2026-07-21T02:00:00,8.0
farm-012,2026-07-21T08:00:00,8.0
farm-012,2026-07-21T14:00:00,8.0
farm-012,2026-07-21T20:00:00,8.0
user-001,2026-07-22T10:00:00,1.31
user-002,2026-07-22T11:00:00,0.88
user-003,2026-07-22T12:00:00,2.13
user-004,2026-07-22T13:00:00,0.68
user-005,2026-07-22T14:00:00,1.84
user-006,2026-07-22T15:00:00,1.41
user-007,2026-07-22T16:00:00,0.64
user-008,2026-07-22T17:00:00,1.77
user-009,2026-07-22T18:00:00,0.59
user-010,2026-07-22T19:00:00,1.58
user-011,2026-07-22T20:00:00,0.67
user-012,2026-07-22T21:00:00,0.73
user-013,2026-07-22T22:00:00,1.56
user-014,2026-07-22T23:00:00,2.57
user-015,2026-07-23T00:00:00,0.81
user-016,2026-07-23T01:00:00,1.06
user-017,2026-07-23T02:00:00,2.07
user-018,2026-07-23T03:00:00,2.87
